"state","county.name","date","value"
"Massachusetts","Barnstable","2001-01-01","11078518"
"Massachusetts","Barnstable","2002-01-01","11185396"
"Massachusetts","Barnstable","2003-01-01","11199937"
"Massachusetts","Barnstable","2004-01-01","11503339"
"Massachusetts","Barnstable","2005-01-01","11325811"
"Massachusetts","Barnstable","2006-01-01","10824672"
"Massachusetts","Barnstable","2007-01-01","10863587"
"Massachusetts","Barnstable","2008-01-01","11315958"
"Massachusetts","Barnstable","2009-01-01","10778677"
"Massachusetts","Barnstable","2010-01-01","11066483"
"Massachusetts","Barnstable","2011-01-01","11273372"
"Massachusetts","Barnstable","2012-01-01","11181438"
"Massachusetts","Barnstable","2013-01-01","11240442"
"Massachusetts","Barnstable","2014-01-01","11473287"
"Massachusetts","Barnstable","2015-01-01","11566624"
"Massachusetts","Barnstable","2016-01-01","11555157"
"Massachusetts","Barnstable","2017-01-01","11486279"
"Massachusetts","Barnstable","2018-01-01","11753488"
"Massachusetts","Barnstable","2019-01-01","12089470"
"Massachusetts","Barnstable","2020-01-01","11317461"
"Massachusetts","Barnstable","2021-01-01","12083714"
"Massachusetts","Berkshire","2001-01-01","5777869"
"Massachusetts","Berkshire","2002-01-01","5932716"
"Massachusetts","Berkshire","2003-01-01","5796831"
"Massachusetts","Berkshire","2004-01-01","5964071"
"Massachusetts","Berkshire","2005-01-01","6124349"
"Massachusetts","Berkshire","2006-01-01","6057530"
"Massachusetts","Berkshire","2007-01-01","6073272"
"Massachusetts","Berkshire","2008-01-01","6256008"
"Massachusetts","Berkshire","2009-01-01","6072591"
"Massachusetts","Berkshire","2010-01-01","6200398"
"Massachusetts","Berkshire","2011-01-01","6268010"
"Massachusetts","Berkshire","2012-01-01","6541360"
"Massachusetts","Berkshire","2013-01-01","6550820"
"Massachusetts","Berkshire","2014-01-01","6584524"
"Massachusetts","Berkshire","2015-01-01","6610332"
"Massachusetts","Berkshire","2016-01-01","6550066"
"Massachusetts","Berkshire","2017-01-01","6340588"
"Massachusetts","Berkshire","2018-01-01","6453474"
"Massachusetts","Berkshire","2019-01-01","6291201"
"Massachusetts","Berkshire","2020-01-01","5957780"
"Massachusetts","Berkshire","2021-01-01","6184325"
"Massachusetts","Bristol","2001-01-01","20007712"
"Massachusetts","Bristol","2002-01-01","20261236"
"Massachusetts","Bristol","2003-01-01","20516840"
"Massachusetts","Bristol","2004-01-01","20500611"
"Massachusetts","Bristol","2005-01-01","20547263"
"Massachusetts","Bristol","2006-01-01","21164295"
"Massachusetts","Bristol","2007-01-01","21000347"
"Massachusetts","Bristol","2008-01-01","21904068"
"Massachusetts","Bristol","2009-01-01","20760540"
"Massachusetts","Bristol","2010-01-01","21335213"
"Massachusetts","Bristol","2011-01-01","21583455"
"Massachusetts","Bristol","2012-01-01","21484891"
"Massachusetts","Bristol","2013-01-01","21777520"
"Massachusetts","Bristol","2014-01-01","22327032"
"Massachusetts","Bristol","2015-01-01","23381774"
"Massachusetts","Bristol","2016-01-01","23297288"
"Massachusetts","Bristol","2017-01-01","23549296"
"Massachusetts","Bristol","2018-01-01","23765918"
"Massachusetts","Bristol","2019-01-01","24168737"
"Massachusetts","Bristol","2020-01-01","23591993"
"Massachusetts","Bristol","2021-01-01","24798881"
"Massachusetts","Dukes","2001-01-01","1198038"
"Massachusetts","Dukes","2002-01-01","1197807"
"Massachusetts","Dukes","2003-01-01","1163585"
"Massachusetts","Dukes","2004-01-01","1129151"
"Massachusetts","Dukes","2005-01-01","1171035"
"Massachusetts","Dukes","2006-01-01","1166201"
"Massachusetts","Dukes","2007-01-01","1058398"
"Massachusetts","Dukes","2008-01-01","1132021"
"Massachusetts","Dukes","2009-01-01","1138269"
"Massachusetts","Dukes","2010-01-01","1177255"
"Massachusetts","Dukes","2011-01-01","1219676"
"Massachusetts","Dukes","2012-01-01","1327262"
"Massachusetts","Dukes","2013-01-01","1301299"
"Massachusetts","Dukes","2014-01-01","1335160"
"Massachusetts","Dukes","2015-01-01","1353499"
"Massachusetts","Dukes","2016-01-01","1394056"
"Massachusetts","Dukes","2017-01-01","1387431"
"Massachusetts","Dukes","2018-01-01","1452859"
"Massachusetts","Dukes","2019-01-01","1429454"
"Massachusetts","Dukes","2020-01-01","1319948"
"Massachusetts","Dukes","2021-01-01","1431720"
"Massachusetts","Essex","2001-01-01","31790091"
"Massachusetts","Essex","2002-01-01","32137947"
"Massachusetts","Essex","2003-01-01","33201207"
"Massachusetts","Essex","2004-01-01","33522751"
"Massachusetts","Essex","2005-01-01","34366113"
"Massachusetts","Essex","2006-01-01","35004447"
"Massachusetts","Essex","2007-01-01","36214860"
"Massachusetts","Essex","2008-01-01","36278409"
"Massachusetts","Essex","2009-01-01","35557717"
"Massachusetts","Essex","2010-01-01","37501959"
"Massachusetts","Essex","2011-01-01","37959670"
"Massachusetts","Essex","2012-01-01","38171430"
"Massachusetts","Essex","2013-01-01","38043936"
"Massachusetts","Essex","2014-01-01","38655947"
"Massachusetts","Essex","2015-01-01","39277625"
"Massachusetts","Essex","2016-01-01","39755894"
"Massachusetts","Essex","2017-01-01","40484703"
"Massachusetts","Essex","2018-01-01","41834447"
"Massachusetts","Essex","2019-01-01","42156769"
"Massachusetts","Essex","2020-01-01","40070911"
"Massachusetts","Essex","2021-01-01","42903361"
"Massachusetts","Franklin","2001-01-01","2604606"
"Massachusetts","Franklin","2002-01-01","2646259"
"Massachusetts","Franklin","2003-01-01","2660065"
"Massachusetts","Franklin","2004-01-01","2629391"
"Massachusetts","Franklin","2005-01-01","2615997"
