"state","county.name","date","value"
"Ohio","Adams","2001-01-01","1336601"
"Ohio","Adams","2002-01-01","1332446"
"Ohio","Adams","2003-01-01","1295115"
"Ohio","Adams","2004-01-01","1313672"
"Ohio","Adams","2005-01-01","1205664"
"Ohio","Adams","2006-01-01","1233969"
"Ohio","Adams","2007-01-01","1382815"
"Ohio","Adams","2008-01-01","1305477"
"Ohio","Adams","2009-01-01","1475539"
"Ohio","Adams","2010-01-01","1442435"
"Ohio","Adams","2011-01-01","1556842"
"Ohio","Adams","2012-01-01","1447410"
"Ohio","Adams","2013-01-01","1477506"
"Ohio","Adams","2014-01-01","1340995"
"Ohio","Adams","2015-01-01","1419427"
"Ohio","Adams","2016-01-01","1552351"
"Ohio","Adams","2017-01-01","1379199"
"Ohio","Adams","2018-01-01","872694"
"Ohio","Adams","2019-01-01","675829"
"Ohio","Adams","2020-01-01","681273"
"Ohio","Adams","2021-01-01","717219"
"Ohio","Allen","2001-01-01","5716160"
"Ohio","Allen","2002-01-01","5921612"
"Ohio","Allen","2003-01-01","5817182"
"Ohio","Allen","2004-01-01","5950696"
"Ohio","Allen","2005-01-01","5985655"
"Ohio","Allen","2006-01-01","6117198"
"Ohio","Allen","2007-01-01","6042698"
"Ohio","Allen","2008-01-01","6061516"
"Ohio","Allen","2009-01-01","7495687"
"Ohio","Allen","2010-01-01","7821572"
"Ohio","Allen","2011-01-01","7930715"
"Ohio","Allen","2012-01-01","7278543"
"Ohio","Allen","2013-01-01","6917091"
"Ohio","Allen","2014-01-01","7597121"
"Ohio","Allen","2015-01-01","7366230"
"Ohio","Allen","2016-01-01","7660353"
"Ohio","Allen","2017-01-01","7543690"
"Ohio","Allen","2018-01-01","7597930"
"Ohio","Allen","2019-01-01","7558271"
"Ohio","Allen","2020-01-01","7253048"
"Ohio","Allen","2021-01-01","7604646"
"Ohio","Ashland","2001-01-01","1516215"
"Ohio","Ashland","2002-01-01","1558178"
"Ohio","Ashland","2003-01-01","1563264"
"Ohio","Ashland","2004-01-01","1607103"
"Ohio","Ashland","2005-01-01","1618160"
"Ohio","Ashland","2006-01-01","1593406"
"Ohio","Ashland","2007-01-01","1611164"
"Ohio","Ashland","2008-01-01","1587328"
"Ohio","Ashland","2009-01-01","1531356"
"Ohio","Ashland","2010-01-01","1531360"
"Ohio","Ashland","2011-01-01","1577708"
"Ohio","Ashland","2012-01-01","1547920"
"Ohio","Ashland","2013-01-01","1589850"
"Ohio","Ashland","2014-01-01","1561662"
"Ohio","Ashland","2015-01-01","1541103"
"Ohio","Ashland","2016-01-01","1523295"
"Ohio","Ashland","2017-01-01","1553989"
"Ohio","Ashland","2018-01-01","1571586"
"Ohio","Ashland","2019-01-01","1579051"
"Ohio","Ashland","2020-01-01","1606240"
"Ohio","Ashland","2021-01-01","1685073"
"Ohio","Ashtabula","2001-01-01","2742164"
"Ohio","Ashtabula","2002-01-01","2875429"
"Ohio","Ashtabula","2003-01-01","2892855"
