"state","county.name","date","value"
"Massachusetts","Barnstable","1969-01-01","4406"
"Massachusetts","Barnstable","1970-01-01","4785"
"Massachusetts","Barnstable","1971-01-01","5418"
"Massachusetts","Barnstable","1972-01-01","6191"
"Massachusetts","Barnstable","1973-01-01","6180"
"Massachusetts","Barnstable","1974-01-01","6109"
"Massachusetts","Barnstable","1975-01-01","6584"
"Massachusetts","Barnstable","1976-01-01","7259"
"Massachusetts","Barnstable","1977-01-01","7913"
"Massachusetts","Barnstable","1978-01-01","8802"
"Massachusetts","Barnstable","1979-01-01","9732"
"Massachusetts","Barnstable","1980-01-01","11093"
"Massachusetts","Barnstable","1981-01-01","12348"
"Massachusetts","Barnstable","1982-01-01","13622"
"Massachusetts","Barnstable","1983-01-01","14764"
"Massachusetts","Barnstable","1984-01-01","16429"
"Massachusetts","Barnstable","1985-01-01","17695"
"Massachusetts","Barnstable","1986-01-01","18908"
"Massachusetts","Barnstable","1987-01-01","20323"
"Massachusetts","Barnstable","1988-01-01","21664"
"Massachusetts","Barnstable","1989-01-01","21886"
"Massachusetts","Barnstable","1990-01-01","23082"
"Massachusetts","Barnstable","1991-01-01","23251"
"Massachusetts","Barnstable","1992-01-01","24482"
"Massachusetts","Barnstable","1993-01-01","25780"
"Massachusetts","Barnstable","1994-01-01","26901"
"Massachusetts","Barnstable","1995-01-01","28162"
"Massachusetts","Barnstable","1996-01-01","29667"
"Massachusetts","Barnstable","1997-01-01","30873"
"Massachusetts","Barnstable","1998-01-01","32920"
"Massachusetts","Barnstable","1999-01-01","34930"
"Massachusetts","Barnstable","2000-01-01","36181"
"Massachusetts","Barnstable","2001-01-01","39586"
"Massachusetts","Barnstable","2002-01-01","39577"
"Massachusetts","Barnstable","2003-01-01","40602"
"Massachusetts","Barnstable","2004-01-01","43676"
"Massachusetts","Barnstable","2005-01-01","44058"
"Massachusetts","Barnstable","2006-01-01","46188"
"Massachusetts","Barnstable","2007-01-01","47930"
"Massachusetts","Barnstable","2008-01-01","49634"
"Massachusetts","Barnstable","2009-01-01","49744"
"Massachusetts","Barnstable","2010-01-01","51523"
"Massachusetts","Barnstable","2011-01-01","53334"
"Massachusetts","Barnstable","2012-01-01","55263"
"Massachusetts","Barnstable","2013-01-01","55482"
"Massachusetts","Barnstable","2014-01-01","57961"
"Massachusetts","Barnstable","2015-01-01","60404"
"Massachusetts","Barnstable","2016-01-01","62393"
"Massachusetts","Barnstable","2017-01-01","64192"
"Massachusetts","Barnstable","2018-01-01","67070"
"Massachusetts","Barnstable","2019-01-01","72791"
"Massachusetts","Barnstable","2020-01-01","79606"
"Massachusetts","Barnstable","2021-01-01","83891"
"Massachusetts","Barnstable","2022-01-01","85317"
"Massachusetts","Berkshire","1969-01-01","3883"
"Massachusetts","Berkshire","1970-01-01","4117"
"Massachusetts","Berkshire","1971-01-01","4354"
"Massachusetts","Berkshire","1972-01-01","4745"
"Massachusetts","Berkshire","1973-01-01","5208"
"Massachusetts","Berkshire","1974-01-01","5653"
"Massachusetts","Berkshire","1975-01-01","6093"
"Massachusetts","Berkshire","1976-01-01","6547"
"Massachusetts","Berkshire","1977-01-01","7033"
"Massachusetts","Berkshire","1978-01-01","7649"
"Massachusetts","Berkshire","1979-01-01","8496"
"Massachusetts","Berkshire","1980-01-01","9502"
"Massachusetts","Berkshire","1981-01-01","10507"
"Massachusetts","Berkshire","1982-01-01","11600"
"Massachusetts","Berkshire","1983-01-01","12382"
"Massachusetts","Berkshire","1984-01-01","13728"
"Massachusetts","Berkshire","1985-01-01","14654"
"Massachusetts","Berkshire","1986-01-01","15716"
"Massachusetts","Berkshire","1987-01-01","16519"
"Massachusetts","Berkshire","1988-01-01","17939"
"Massachusetts","Berkshire","1989-01-01","19277"
"Massachusetts","Berkshire","1990-01-01","19891"
"Massachusetts","Berkshire","1991-01-01","20195"
"Massachusetts","Berkshire","1992-01-01","20507"
"Massachusetts","Berkshire","1993-01-01","21418"
"Massachusetts","Berkshire","1994-01-01","22150"
"Massachusetts","Berkshire","1995-01-01","23111"
"Massachusetts","Berkshire","1996-01-01","24470"
"Massachusetts","Berkshire","1997-01-01","25629"
"Massachusetts","Berkshire","1998-01-01","27004"
"Massachusetts","Berkshire","1999-01-01","28324"
"Massachusetts","Berkshire","2000-01-01","30307"
"Massachusetts","Berkshire","2001-01-01","31320"
"Massachusetts","Berkshire","2002-01-01","31904"
"Massachusetts","Berkshire","2003-01-01","31992"
"Massachusetts","Berkshire","2004-01-01","34263"
"Massachusetts","Berkshire","2005-01-01","35452"
"Massachusetts","Berkshire","2006-01-01","37170"
"Massachusetts","Berkshire","2007-01-01","38774"
"Massachusetts","Berkshire","2008-01-01","40779"
"Massachusetts","Berkshire","2009-01-01","40187"
"Massachusetts","Berkshire","2010-01-01","41040"
"Massachusetts","Berkshire","2011-01-01","43105"
"Massachusetts","Berkshire","2012-01-01","44417"
"Massachusetts","Berkshire","2013-01-01","44353"
"Massachusetts","Berkshire","2014-01-01","46612"
"Massachusetts","Berkshire","2015-01-01","49406"
"Massachusetts","Berkshire","2016-01-01","50712"
"Massachusetts","Berkshire","2017-01-01","52131"
"Massachusetts","Berkshire","2018-01-01","54231"
"Massachusetts","Berkshire","2019-01-01","56172"
"Massachusetts","Berkshire","2020-01-01","61119"
"Massachusetts","Berkshire","2021-01-01","64444"
"Massachusetts","Berkshire","2022-01-01","64758"
"Massachusetts","Bristol","1969-01-01","3619"
"Massachusetts","Bristol","1970-01-01","3865"
"Massachusetts","Bristol","1971-01-01","4153"
"Massachusetts","Bristol","1972-01-01","4514"
"Massachusetts","Bristol","1973-01-01","4878"
"Massachusetts","Bristol","1974-01-01","5275"
"Massachusetts","Bristol","1975-01-01","5715"
"Massachusetts","Bristol","1976-01-01","6252"
"Massachusetts","Bristol","1977-01-01","6865"
"Massachusetts","Bristol","1978-01-01","7601"
"Massachusetts","Bristol","1979-01-01","8381"
"Massachusetts","Bristol","1980-01-01","9273"
"Massachusetts","Bristol","1981-01-01","10111"
"Massachusetts","Bristol","1982-01-01","11004"
"Massachusetts","Bristol","1983-01-01","11918"
"Massachusetts","Bristol","1984-01-01","13188"
"Massachusetts","Bristol","1985-01-01","14137"
"Massachusetts","Bristol","1986-01-01","15093"
"Massachusetts","Bristol","1987-01-01","15972"
"Massachusetts","Bristol","1988-01-01","17229"
"Massachusetts","Bristol","1989-01-01","18030"
"Massachusetts","Bristol","1990-01-01","18481"
"Massachusetts","Bristol","1991-01-01","18740"
"Massachusetts","Bristol","1992-01-01","19575"
"Massachusetts","Bristol","1993-01-01","20239"
"Massachusetts","Bristol","1994-01-01","21359"
"Massachusetts","Bristol","1995-01-01","22283"
"Massachusetts","Bristol","1996-01-01","23215"
"Massachusetts","Bristol","1997-01-01","24421"
"Massachusetts","Bristol","1998-01-01","25390"
"Massachusetts","Bristol","1999-01-01","26742"
"Massachusetts","Bristol","2000-01-01","28717"
"Massachusetts","Bristol","2001-01-01","30571"
