"state","county.name","date","value"
"Ohio","Adams","1969-01-01","2393"
"Ohio","Adams","1970-01-01","2614"
"Ohio","Adams","1971-01-01","2572"
"Ohio","Adams","1972-01-01","2714"
"Ohio","Adams","1973-01-01","2908"
"Ohio","Adams","1974-01-01","3264"
"Ohio","Adams","1975-01-01","3561"
"Ohio","Adams","1976-01-01","3717"
"Ohio","Adams","1977-01-01","4215"
"Ohio","Adams","1978-01-01","4643"
"Ohio","Adams","1979-01-01","5235"
"Ohio","Adams","1980-01-01","5825"
"Ohio","Adams","1981-01-01","6726"
"Ohio","Adams","1982-01-01","7298"
"Ohio","Adams","1983-01-01","7115"
"Ohio","Adams","1984-01-01","8424"
"Ohio","Adams","1985-01-01","9130"
"Ohio","Adams","1986-01-01","9098"
"Ohio","Adams","1987-01-01","9431"
"Ohio","Adams","1988-01-01","10065"
"Ohio","Adams","1989-01-01","10810"
"Ohio","Adams","1990-01-01","11435"
"Ohio","Adams","1991-01-01","11703"
"Ohio","Adams","1992-01-01","12981"
"Ohio","Adams","1993-01-01","13317"
"Ohio","Adams","1994-01-01","14112"
"Ohio","Adams","1995-01-01","14530"
"Ohio","Adams","1996-01-01","15352"
"Ohio","Adams","1997-01-01","16639"
"Ohio","Adams","1998-01-01","18052"
"Ohio","Adams","1999-01-01","18746"
"Ohio","Adams","2000-01-01","20377"
"Ohio","Adams","2001-01-01","21548"
"Ohio","Adams","2002-01-01","20965"
"Ohio","Adams","2003-01-01","21527"
"Ohio","Adams","2004-01-01","22653"
"Ohio","Adams","2005-01-01","22494"
"Ohio","Adams","2006-01-01","23061"
"Ohio","Adams","2007-01-01","24430"
"Ohio","Adams","2008-01-01","24944"
"Ohio","Adams","2009-01-01","25450"
"Ohio","Adams","2010-01-01","26030"
"Ohio","Adams","2011-01-01","28275"
"Ohio","Adams","2012-01-01","28394"
"Ohio","Adams","2013-01-01","29051"
"Ohio","Adams","2014-01-01","30474"
"Ohio","Adams","2015-01-01","31997"
"Ohio","Adams","2016-01-01","32530"
"Ohio","Adams","2017-01-01","33683"
"Ohio","Adams","2018-01-01","34912"
"Ohio","Adams","2019-01-01","35806"
"Ohio","Adams","2020-01-01","40100"
"Ohio","Adams","2021-01-01","43092"
"Ohio","Allen","1969-01-01","3763"
"Ohio","Allen","1970-01-01","3955"
"Ohio","Allen","1971-01-01","4181"
"Ohio","Allen","1972-01-01","4422"
"Ohio","Allen","1973-01-01","5027"
"Ohio","Allen","1974-01-01","5494"
"Ohio","Allen","1975-01-01","5840"
"Ohio","Allen","1976-01-01","6367"
"Ohio","Allen","1977-01-01","7018"
"Ohio","Allen","1978-01-01","7846"
"Ohio","Allen","1979-01-01","8571"
"Ohio","Allen","1980-01-01","9226"
"Ohio","Allen","1981-01-01","9829"
"Ohio","Allen","1982-01-01","10447"
"Ohio","Allen","1983-01-01","11234"
"Ohio","Allen","1984-01-01","12641"
"Ohio","Allen","1985-01-01","13382"
"Ohio","Allen","1986-01-01","14105"
"Ohio","Allen","1987-01-01","14397"
"Ohio","Allen","1988-01-01","15087"
"Ohio","Allen","1989-01-01","15874"
"Ohio","Allen","1990-01-01","16527"
"Ohio","Allen","1991-01-01","16851"
"Ohio","Allen","1992-01-01","17959"
"Ohio","Allen","1993-01-01","18085"
"Ohio","Allen","1994-01-01","19188"
"Ohio","Allen","1995-01-01","19736"
"Ohio","Allen","1996-01-01","20306"
"Ohio","Allen","1997-01-01","21039"
"Ohio","Allen","1998-01-01","22441"
"Ohio","Allen","1999-01-01","23589"
"Ohio","Allen","2000-01-01","24701"
"Ohio","Allen","2001-01-01","25121"
"Ohio","Allen","2002-01-01","25628"
"Ohio","Allen","2003-01-01","26655"
"Ohio","Allen","2004-01-01","27459"
"Ohio","Allen","2005-01-01","28151"
"Ohio","Allen","2006-01-01","29623"
"Ohio","Allen","2007-01-01","31101"
"Ohio","Allen","2008-01-01","31934"
"Ohio","Allen","2009-01-01","32098"
"Ohio","Allen","2010-01-01","33085"
